Tc,cop,cdr,icond,ievapo,ithroat,effi,Qe,si,wc
313,1.977,1.195,0.531,-0.0007,8.037,0.3088,93.01,1.442,38.1
315.2,1.856,1.297,0.5559,-0.00068,8.692,0.2877,90.15,1.402,39.35
317.4,1.742,1.407,0.581,-0.00066,9.374,0.2701,87.28,1.37,40.58
319.7,1.636,1.527,0.6065,-0.00063,10.08,0.2536,84.37,1.34,41.78
321.9,1.535,1.658,0.3625,-0.00061,10.82,0.238,81.44,1.312,42.97
324.1,1.44,1.801,0.6591,-0.00059,11.59,0.2233,78.48,1.287,44.14
326.3,1.35,,,,,,75.48,1.265,45.3
328.6,1.264,2.132,0.7147,-0.00054,13.22,0.1959,72.44,1.244,46.43
330.8,1.182,2.325,0.7441,-0.00052,14.09,0.1832,89.38,1.224,47.55
333,1.103,2.542,0.775,-0.0005,14.99,0.1709,66.21,1.206,48.65
