Q,P1,P2,Pcd,Phd,T1,T2,T3,T4,Eff
300,0.08,0.06,9,6,315.24,360.22,368.96,321.1,0.890916
400,0.14,0.12,15,12,311.35,359.94,367.91,316.95,0.90099
500,0.2,0.17,25,22,311.93,361.38,368.88,317,0.910975
550,0.24,0.2,30,26,312.82,361.71,369.45,317.35,0.920007
588,0.28,0.24,31,27,313.41,361.33,368.96,317.86,0.919892
650,0.32,0.26,40,35,314.16,360.74,368.72,318.08,0.928152
300,0.09,0.06,12,10,313.94,352.08,358.83,319.3,0.880597
400,0.14,0.1,15,13,313.6,352.88,358.86,318.43,0.893283
500,0.2,0.16,24,20,312.7,353.05,358.69,317.35,0.898891
550,0.24,0.19,30,26,315.08,353.06,358.86,318.99,0.91069
588,0.28,0.23,34,31,316.55,353.16,358.83,320.3,0.911306
650,0.34,0.28,38,35,315.75,352.39,358.32,319.06,0.922246
300,0.08,0.06,8,7,313.32,343.27,348.86,317.78,0.874508
400,0.13,0.11,15,13,314.13,344.11,348.98,317.85,0.893257
500,0.15,0.16,23,21,316.18,344.66,348.88,319.5,0.898471
550,0.24,0.19,30,26,316.1,344.52,348.71,319.44,0.897577
588,0.28,0.24,33,31,316.62,344.63,348.88,319.59,0.907936
650,0.34,0.28,39,34,316.6,344.16,348.8,319.18,0.919876
300,0.08,0.06,8,6,313.92,335.01,339.31,316.94,0.881056
400,0.14,0.11,16,14,315.77,335.86,339.26,318.45,0.885909
500,0.2,0.16,24,22,312.51,335.42,338.9,315.55,0.884805
550,0.24,0.19,30,26,316.46,336.01,338.83,318.86,0.892713
588,0.28,0.23,33,31,312.99,335.34,338.8,315.57,0.900039
650,0.34,0.28,37,34,315.72,335.67,339.16,317.93,0.905717
550,0.24,0.19,30,26,316.46,336.01,338.83,318.86,0.892713
588,0.28,0.23,33,31,312.99,335.34,338.8,315.57,0.900039
650,0.29,0.28,37,34,315.72,335.67,339.16,317.93,0.905717
